gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,arc,at,bkvlps,ch,optdr,optvol,costat,dvpsx_c,prcc_c,ggroup,gind,gsector,gsubind,idbflag,incorp,naics,spcsrc
001045,12/31/2010,2010,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,,25088.0000,-11.8309,168.0000,0.0000,75.1500,A,0.0000,7.7900,2030,203020,20,20302010,B,DE,481111,C
001045,12/31/2011,2011,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,,23848.0000,-21.2099,283.0000,0.0000,74.4500,A,0.0000,0.3500,2030,203020,20,20302010,B,DE,481111,C
001045,12/31/2012,2012,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,,23510.0000,-23.8210,480.0000,,,A,0.0000,0.7950,2030,203020,20,20302010,B,DE,481111,C
001045,12/31/2013,2013,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,,42278.0000,-10.4608,1140.0000,,,A,0.0000,25.2500,2030,203020,20,20302010,B,DE,481111,C
001045,12/31/2014,2014,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,,43771.0000,2.8976,994.0000,,,A,0.2000,53.6300,2030,203020,20,20302010,B,DE,481111,C
001045,12/31/2015,2015,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,,48415.0000,9.0215,390.0000,,,A,0.4000,42.3500,2030,203020,20,20302010,B,DE,481111,C
001045,12/31/2016,2016,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,,51274.0000,7.4612,322.0000,,,A,0.4000,46.6900,2030,203020,20,20302010,B,DE,481111,C
001045,12/31/2017,2017,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,,51396.0000,8.2564,295.0000,,,A,0.4000,52.0300,2030,203020,20,20302010,B,DE,481111,C
001045,12/31/2018,2018,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,,60580.0000,-0.3669,275.0000,,,A,0.4000,32.1100,2030,203020,20,20302010,B,DE,481111,C
001045,12/31/2019,2019,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,,59995.0000,-0.2756,280.0000,,,A,0.4000,28.6800,2030,203020,20,20302010,B,DE,481111,C
001045,12/31/2020,2020,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,,62008.0000,-11.0494,245.0000,,,A,0.1000,15.7700,2030,203020,20,20302010,B,DE,481111,C
001045,12/31/2021,2021,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,,66467.0000,-11.3319,273.0000,,,A,0.0000,17.9600,2030,203020,20,20302010,B,DE,481111,C
001075,12/31/2010,2010,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,12362.7030,33.8634,110.1880,,,A,2.1000,41.4500,5510,551010,55,55101010,D,AZ,2211,A
001075,12/31/2011,2011,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,13111.0180,34.9839,33.5830,,,A,2.1000,48.1800,5510,551010,55,55101010,D,AZ,2211,A
001075,12/31/2012,2012,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,13379.6150,36.2010,26.2020,,,A,2.1200,50.9800,5510,551010,55,55101010,D,AZ,2211,A
001075,12/31/2013,2013,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,13508.6860,38.0686,9.5260,,,A,2.2025,52.9200,5510,551010,55,55101010,D,AZ,2211,A
001075,12/31/2014,2014,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,14313.5320,39.4994,7.6040,,,A,2.2975,68.3100,5510,551010,55,55101010,D,AZ,2211,A
001075,12/31/2015,2015,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,15028.2580,41.3040,39.4880,,,A,2.4100,64.4800,5510,551010,55,55101010,D,AZ,2211,A
001075,12/31/2016,2016,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,16004.2530,43.1449,8.8810,,,A,2.5300,78.0300,5510,551010,55,55101010,D,AZ,2211,A
001075,12/31/2017,2017,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,17019.0820,44.8018,13.8920,,,A,2.6600,85.1800,5510,551010,55,55101010,D,AZ,2211,A
001075,12/31/2018,2018,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,17664.2020,46.5907,5.7660,,,A,2.8225,85.2000,5510,551010,55,55101010,D,AZ,2211,A
001075,12/31/2019,2019,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,18479.2470,48.2999,10.2830,,,A,2.9950,89.9300,5510,551010,55,55101010,D,AZ,2211,A
001075,12/31/2020,2020,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,20020.4210,49.9920,59.9680,,,A,3.1775,79.9500,5510,551010,55,55101010,D,AZ,2211,A
001075,12/31/2021,2021,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,,22003.2220,52.3010,9.9690,,,A,3.3400,70.5900,5510,551010,55,55101010,D,AZ,2211,A
001078,12/31/2010,2010,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,,59462.2660,14.4721,3648.3710,3.2000,22.0000,A,1.7200,47.9100,3510,351010,35,35101010,B,IL,334510,B
001078,12/31/2011,2011,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,,60276.8930,15.5630,6812.8200,4.1000,21.0000,A,1.8800,56.2300,3510,351010,35,35101010,B,IL,334510,B
001078,12/31/2012,2012,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,,67234.9440,16.9478,10802.1630,3.6000,21.0000,A,2.0100,65.5000,3510,351010,35,35101010,B,IL,334510,B
001078,12/31/2013,2013,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,,42953.0000,16.2593,3475.0000,1.6000,20.0000,A,0.5600,38.3300,3510,351010,35,35101010,B,IL,334510,B
001078,12/31/2014,2014,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,,41275.0000,14.2742,4063.0000,2.2000,20.0000,A,0.8800,45.0200,3510,351010,35,35101010,B,IL,334510,B
001078,12/31/2015,2015,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,,41247.0000,14.4031,5001.0000,2.0000,17.0000,A,0.9600,44.9100,3510,351010,35,35101010,B,IL,334510,B
001078,12/31/2016,2016,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,,52666.0000,13.9442,18620.0000,2.7000,17.0000,A,1.0400,38.4100,3510,351010,35,35101010,B,IL,334510,B
001078,12/31/2017,2017,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,,76250.0000,17.7202,9407.0000,2.4000,18.0000,A,1.0600,57.0700,3510,351010,35,35101010,B,IL,334510,B
001078,12/31/2018,2018,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,,67173.0000,17.3865,3844.0000,1.9000,19.0000,A,1.1200,72.3300,3510,351010,35,35101010,B,IL,334510,B
001078,12/31/2019,2019,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,,67887.0000,17.6386,3860.0000,1.7000,19.8000,A,1.2800,86.8600,3510,351010,35,35101010,B,IL,334510,B
001078,12/31/2020,2020,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,,72548.0000,18.5092,6838.0000,1.6000,19.4000,A,1.4400,109.4900,3510,351010,35,35101010,B,IL,334510,B
001078,12/31/2021,2021,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,,75196.0000,20.2950,9799.0000,1.5000,23.8000,A,1.8000,140.7400,3510,351010,35,35101010,B,IL,334510,B
001161,12/31/2010,2010,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,,4964.0000,1.4832,606.0000,0.0000,55.9700,A,0.0000,8.1800,4530,453010,45,45301020,B,DE,334413,B-
001161,12/31/2011,2011,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,,4954.0000,2.2779,869.0000,0.0000,54.8200,A,0.0000,5.4000,4530,453010,45,45301020,B,DE,334413,B-
001161,12/31/2012,2012,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,,4000.0000,0.7546,549.0000,0.0000,56.2400,A,0.0000,2.4000,4530,453010,45,45301020,B,DE,334413,B-
001161,12/31/2013,2013,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,,4337.0000,0.7503,869.0000,0.0000,59.0300,A,0.0000,3.8700,4530,453010,45,45301020,B,DE,334413,B-
001161,12/31/2014,2014,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,,3767.0000,0.2410,805.0000,0.0000,53.3600,A,0.0000,2.6700,4530,453010,45,45301020,B,DE,334413,B-
001161,12/31/2015,2015,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,,3109.0000,-0.5202,785.0000,0.0000,60.1400,A,0.0000,2.8700,4530,453010,45,45301020,B,DE,334413,B-
001161,12/31/2016,2016,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,,3321.0000,0.4449,,0.0000,62.3300,A,0.0000,11.3400,4530,453010,45,45301020,B,DE,334413,B-
001161,12/31/2017,2017,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,,3540.0000,0.6319,1185.0000,0.0000,57.2600,A,0.0000,10.2800,4530,453010,45,45301020,B,DE,334413,B-
001161,12/31/2018,2018,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,,4556.0000,1.2597,1078.0000,0.0000,55.9900,A,0.0000,18.4600,4530,453010,45,45301020,B,DE,334413,B-
001161,12/31/2019,2019,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,,6028.0000,2.4162,1466.0000,0.0000,54.5600,A,0.0000,45.8600,4530,453010,45,45301020,B,DE,334413,B-
001161,12/31/2020,2020,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,,8962.0000,4.8200,1595.0000,0.0000,57.8700,A,0.0000,91.7100,4530,453010,45,45301020,B,DE,334413,B-
001161,12/31/2021,2021,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,,12419.0000,6.2113,2535.0000,0.0000,51.7700,A,0.0000,143.9000,4530,453010,45,45301020,B,DE,334413,B-
001209,09/30/2010,2010,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,,13505.9000,25.9440,374.3000,2.0100,32.6000,A,1.9600,90.9500,1510,151010,15,15101040,D,DE,325120,A
001209,09/30/2011,2011,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,,14290.7000,27.5748,422.5000,2.2000,29.6000,A,2.3200,85.1900,1510,151010,15,15101040,D,DE,325120,A
