Date,1332.T,1333.T,1605.T,1721.T,1925.T,1808.T,1963.T,1812.T,1802.T,1928.T,1803.T,1801.T,2802.T,2502.T,2914.T,2801.T,2503.T,2269.T,2871.T,2282.T,2002.T,2501.T,2531.T,3401.T,3402.T,3101.T,3103.T,3863.T,3861.T,3407.T,4061.T,4631.T,4901.T,4452.T,3405.T,4188.T,4183.T,4021.T,6988.T,4063.T,4911.T,4004.T,4005.T,4043.T,4042.T,4208.T,4503.T,4519.T,4568.T,4506.T,4523.T,4151.T,4578.T,4507.T,4502.T,5020.T,5019.T,5108.T,5101.T,5201.T,5333.T,5214.T,5202.T,5232.T,5233.T,5301.T,5332.T,5411.T,5406.T,5401.T,5541.T,5714.T,5803.T,5801.T,5711.T,5706.T,5703.T,3436.T,5802.T,5713.T,5707.T,6113.T,6367.T,6361.T,6305.T,7004.T,7013.T,5631.T,6473.T,6301.T,6326.T,7011.T,6471.T,6472.T,6103.T,6302.T,6857.T,6770.T,7751.T,6952.T,7735.T,6902.T,6954.T,6504.T,6702.T,6674.T,6501.T,6861.T,6971.T,6479.T,6503.T,6981.T,6701.T,6703.T,6645.T,6752.T,7752.T,6724.T,6753.T,6758.T,6976.T,6762.T,8035.T,6506.T,6841.T,7012.T,7003.T,7205.T,7267.T,7202.T,7261.T,7211.T,7201.T,7270.T,7269.T,7203.T,7272.T,7762.T,4902.T,7731.T,7733.T,4543.T,8001.T,8002.T,8058.T,8031.T,2768.T,8053.T,8015.T,7832.T,7912.T,7911.T,7951.T,8267.T,9983.T,3099.T,3086.T,8252.T,3382.T,8233.T,8304.T,8331.T,7186.T,8309.T,8354.T,8306.T,8411.T,8308.T,8303.T,8316.T,8601.T,8628.T,8604.T,8750.T,8725.T,8630.T,8795.T,8766.T,8253.T,8697.T,8802.T,8801.T,8830.T,8804.T,3289.T,9022.T,9020.T,9008.T,9009.T,9007.T,9001.T,9005.T,9021.T,9064.T,9107.T,9104.T,9101.T,9202.T,9301.T,9433.T,9432.T,9613.T,9984.T,9502.T,9503.T,9501.T,9532.T,9531.T,4751.T,2432.T,4324.T,6178.T,9766.T,2413.T,3659.T,7974.T,4755.T,6098.T,9735.T,9602.T,4704.T,4689.T
2017-11-17,586.0,3135.0,1260.5,3020.0,4072.0,1751.0,1903.0,2278.0,1460.0,2106.0,1247.0,6090.0,2109.0,5483.0,3725.0,4065.0,2627.5,9670.0,3145.0,5536.0,2103.0,3430.0,1261.0,2374.0,1135.5,1997.0,821.0,2123.0,668.0,1437.0,3890.0,4145.0,4504.0,7074.0,2216.0,1174.5,3515.0,4365.0,10995.0,12360.0,5204.0,4150.0,804.0,3555.0,2501.0,3255.0,1460.0,1866.6666259765625,892.5,1694.0,6389.0,2164.0,4880.0,6405.0,6210.0,608.9000244140625,3520.0,4988.0,2414.0,4620.0,2083.0,4535.0,953.0,5330.0,4710.0,1150.0,5780.0,2405.5,1019.0,2536.5,2925.0,4495.0,948.0,5800.0,4045.0,6850.0,3130.0,3020.0,1871.0,4441.0,6150.0,1460.0,12855.0,4590.0,3760.0,600.0,3505.0,3445.0,1988.0,3607.0,1973.0,4137.0,1706.0,559.0,7000.0,4885.0,2401.0,3650.0,4297.0,1691.0,10730.0,6440.0,27560.0,4105.0,8317.0,2890.0,4284.5,33530.0,8025.0,2294.0,1867.5,5360.0,2913.0,1589.0,6740.0,1692.0,975.0,2694.0,3490.0,5215.0,1909.0,2913.333251953125,23165.0,4725.0,2133.0,3785.0,1619.0,1336.0,3670.0,1720.0,1522.5,820.0,1070.0,3611.0,5956.0,1383.4000244140625,3565.0,824.0,1040.0,2285.0,1126.25,2482.5,1912.0,725.5,2759.5,1625.5,1635.0,1656.0,4125.0,3850.0,2465.0,2116.0,3975.0,1725.5,40280.0,1204.0,1762.0,1861.0,4543.0,2082.0,4145.0,824.0,589.0,4062.0,2800.0,743.0999755859375,1966.0,588.7000122070312,1740.0,4361.0,697.9000244140625,973.0,640.2999877929688,2134.5,3704.0,4434.0,1720.0,1625.0,2077.0,1944.0,2025.5,2570.5,3674.0,1555.0,784.0,20095.0,10725.0,4645.0,3295.0,2267.0,3355.0,1671.0,7839.0,2089.5,937.0,1186.6666259765625,847.6666870117188,4343.0,2853.0,2984.0,2872.0,1289.0,4763.5,1404.0,1452.5,438.0,2123.0,2618.0,1013.75,2801.0,4755.0,1264.0,5990.0,1835.0,1640.0,4483.0,1134.5,2678.5,8301.0,3655.0,6240.0,508.0
2017-11-20,582.0,3130.0,1259.5,3040.0,4028.0,1739.0,1890.0,2286.0,1463.0,2085.5,1248.0,6110.0,2111.0,5534.0,3700.0,4045.0,2658.5,9610.0,3140.0,5478.0,2096.0,3440.0,1274.0,2359.0,1141.5,2006.0,824.0,2099.0,672.0,1399.5,4055.0,4040.0,4463.0,6931.0,2205.0,1155.0,3475.0,4320.0,10895.0,12205.0,5163.0,4105.0,796.0,3570.0,2443.0,3255.0,1450.5,1836.6666259765625,883.8333129882812,1676.0,6380.0,2120.0,4910.0,6264.0,6189.0,602.2000122070312,3505.0,4972.0,2420.0,4665.0,2060.0,4525.0,963.0,5480.0,4730.0,1154.0,5720.0,2413.0,1029.0,2515.0,2919.0,4380.0,1005.0,6000.0,4005.0,6860.0,3070.0,2928.0,1892.5,4417.0,6060.0,1432.0,12760.0,4485.0,3680.0,591.0,3435.0,3430.0,1979.0,3518.0,2013.0,4119.0,1666.0,548.0,6920.0,4735.0,2335.0,3660.0,4278.0,1674.0,10740.0,6455.0,27225.0,4055.0,8238.0,2895.0,4219.0,33405.0,7865.0,2276.0,1850.5,5273.33349609375,2902.0,1580.0,6860.0,1695.5,978.0,2669.0,3495.0,5248.0,1880.0,2900.0,22710.0,4875.0,2129.0,3730.0,1619.0,1332.0,3687.0,1716.0,1522.0,820.0,1067.5,3567.0,5998.0,1386.199951171875,3545.0,810.0,1035.0,2271.0,1127.5,2505.0,1897.5,720.9000244140625,2757.0,1625.0,1610.0,1648.5,4100.0,3840.0,2445.0,2102.0,3905.0,1744.5,40190.0,1207.0,1752.0,1854.0,4534.0,2082.0,4130.0,818.0,583.0,4055.0,2790.0,735.2000122070312,1951.0,581.2999877929688,1712.0,4337.0,685.0999755859375,953.0,632.7999877929688,2146.0,3500.0,4340.0,1716.5,1613.3333740234375,2059.0,1962.0,2007.5,2545.5,3701.0,1547.0,786.0,20095.0,10705.0,4600.0,3295.0,2282.0,3380.0,1671.0,7774.0,2089.5,935.0,1170.0,839.3333129882812,4354.0,2824.0,2976.5,2883.0,1270.0,4734.5,1401.5,1441.5,436.0,2109.0,2586.5,1025.0,2689.0,4770.0,1270.0,5940.0,1850.0,1597.5,4477.0,1133.5,2666.0,8250.0,3620.0,6180.0,508.0
2017-11-21,585.0,3140.0,1279.5,3055.0,4050.0,1750.0,1900.0,2306.0,1455.0,2087.5,1247.0,6110.0,2103.5,5569.0,3690.0,4125.0,2674.0,9600.0,3245.0,5454.0,2111.0,3390.0,1275.0,2391.0,1134.5,2045.0,848.0,2090.0,670.0,1409.0,4145.0,4080.0,4483.0,7000.0,2230.0,1187.5,3545.0,4340.0,11080.0,12505.0,5275.0,4170.0,814.0,3740.0,2496.0,3300.0,1437.5,1876.6666259765625,880.3333129882812,1672.0,6344.0,2110.0,4818.0,6290.0,6179.0,621.5999755859375,3640.0,5016.0,2451.0,4710.0,2112.0,4525.0,963.0,5500.0,4730.0,1161.0,5820.0,2446.0,1029.0,2539.0,2923.0,4405.0,1043.0,6030.0,4065.0,6960.0,3100.0,3065.0,1929.0,4538.0,6070.0,1473.0,12710.0,4625.0,3750.0,590.0,3485.0,3445.0,1997.0,3597.0,2056.0,4138.0,1674.0,559.0,7090.0,4770.0,2318.0,3740.0,4294.0,1679.0,10790.0,6498.0,27725.0,4095.0,8161.0,2940.0,4230.0,33985.0,7929.0,2321.0,1857.0,5328.33349609375,2892.0,1593.0,6920.0,1702.0,975.0,2678.0,3485.0,5217.0,1888.0,2940.0,22775.0,4905.0,2147.0,3880.0,1629.0,1342.0,3701.0,1747.0,1516.0,822.0,1071.5,3629.0,6070.0,1405.5999755859375,3625.0,827.0,1042.0,2288.0,1132.5,2505.0,1894.5,725.2999877929688,2765.0,1635.5,1590.0,1658.5,4135.0,3820.0,2437.0,2084.0,3870.0,1727.0,40390.0,1224.0,1787.0,1868.0,4557.0,2100.0,4195.0,819.0,595.0,4096.0,2820.0,743.9000244140625,1968.0,585.5999755859375,1726.0,4387.0,694.5999755859375,955.0,638.4000244140625,2189.0,3486.0,4311.0,1725.0,1593.0,2078.0,1955.0,2022.0,2557.0,3679.0,1543.0,794.0,20135.0,10720.0,4605.0,3390.0,2297.0,3385.0,1648.0,7778.0,2103.0,935.0,1180.0,847.3333129882812,4358.0,2834.0,2996.5,2901.5,1265.0,4769.0,1397.5,1445.5,436.0,2129.0,2608.5,1017.5,2712.0,4720.0,1277.0,5890.0,1860.0,1627.5,4450.0,1147.5,2642.0,8293.0,3630.0,6310.0,513.0
2017-11-22,581.0,3105.0,1296.0,3080.0,4070.0,1753.0,1912.0,2300.0,1458.0,2098.0,1251.0,6150.0,2049.0,5620.0,3694.0,4160.0,2647.5,9650.0,3180.0,5426.0,2095.0,3430.0,1271.0,2392.0,1123.0,2050.0,837.0,2100.0,673.0,1397.0,4165.0,4130.0,4494.0,6959.0,2219.0,1171.0,3525.0,4345.0,11065.0,12500.0,5261.0,4240.0,805.0,3775.0,2475.0,3280.0,1416.5,1873.3333740234375,877.6666870117188,1669.0,6295.0,2080.0,4913.0,6185.0,6155.0,642.9000244140625,3740.0,4996.0,2505.0,4695.0,2111.0,4600.0,964.0,5360.0,4605.0,1206.0,5850.0,2486.5,1029.0,2550.0,2927.0,4400.0,1049.0,6100.0,4090.0,6980.0,3110.0,3080.0,1949.0,4527.0,6080.0,1494.0,12820.0,4705.0,3775.0,589.0,3525.0,3595.0,2000.0,3691.0,2042.5,4120.0,1707.0,571.0,7480.0,4890.0,2313.0,3805.0,4308.0,1657.0,11000.0,6453.0,28155.0,4220.0,8157.0,2925.0,4270.0,33890.0,7982.0,2305.0,1890.0,5348.33349609375,2895.0,1604.0,7130.0,1696.5,982.0,2681.0,3565.0,5287.0,1924.0,3113.333251953125,22845.0,4995.0,2099.0,3880.0,1639.0,1346.0,3715.0,1781.5,1512.0,810.0,1071.0,3670.0,6151.0,1415.800048828125,3670.0,826.0,1033.0,2275.0,1136.25,2520.0,1901.5,728.7999877929688,2770.5,1643.5,1615.0,1666.5,4190.0,3750.0,2441.0,2074.0,3825.0,1713.0,40620.0,1212.0,1780.0,1834.0,4500.0,2082.0,4225.0,827.0,592.0,4120.0,2805.0,759.9000244140625,1986.0,588.7999877929688,1727.0,4432.0,696.2000122070312,955.0,642.7999877929688,2214.5,3455.0,4314.0,1730.0,1597.6666259765625,2084.0,1994.0,2023.0,2567.5,3668.0,1529.0,787.0,20015.0,10700.0,4600.0,3390.0,2275.0,3380.0,1642.0,7726.0,2121.5,937.3333129882812,1196.6666259765625,858.6666870117188,4355.0,2854.0,3010.0,2884.5,1292.0,4824.5,1401.0,1453.0,439.0,2126.5,2576.0,1006.25,2745.0,4725.0,1272.0,5860.0,1852.5,1632.5,4501.0,1128.5,2626.5,8301.0,3640.0,6430.0,506.0
2017-11-23,581.0,3105.0,1296.0,3080.0,4070.0,1753.0,1912.0,2300.0,1458.0,2098.0,1251.0,6150.0,2049.0,5620.0,3694.0,4160.0,2647.5,9650.0,3180.0,5426.0,2095.0,3430.0,1271.0,2392.0,1123.0,2050.0,837.0,2100.0,673.0,1397.0,4165.0,4130.0,4494.0,6959.0,2219.0,1171.0,3525.0,4345.0,11065.0,12500.0,5261.0,4240.0,805.0,3775.0,2475.0,3280.0,1416.5,1873.3333740234375,877.6666870117188,1669.0,6295.0,2080.0,4913.0,6185.0,6155.0,642.9000244140625,3740.0,4996.0,2505.0,4695.0,2111.0,4600.0,964.0,5360.0,4605.0,1206.0,5850.0,2486.5,1029.0,2550.0,2927.0,4400.0,1049.0,6100.0,4090.0,6980.0,3110.0,3080.0,1949.0,4527.0,6080.0,1494.0,12820.0,4705.0,3775.0,589.0,3525.0,3595.0,2000.0,3691.0,2042.5,4120.0,1707.0,571.0,7480.0,4890.0,2313.0,3805.0,4308.0,1657.0,11000.0,6453.0,28155.0,4220.0,8157.0,2925.0,4270.0,33890.0,7982.0,2305.0,1890.0,5348.33349609375,2895.0,1604.0,7130.0,1696.5,982.0,2681.0,3565.0,5287.0,1924.0,3113.333251953125,22845.0,4995.0,2099.0,3880.0,1639.0,1346.0,3715.0,1781.5,1512.0,810.0,1071.0,3670.0,6151.0,1415.800048828125,3670.0,826.0,1033.0,2275.0,1136.25,2520.0,1901.5,728.7999877929688,2770.5,1643.5,1615.0,1666.5,4190.0,3750.0,2441.0,2074.0,3825.0,1713.0,40620.0,1212.0,1780.0,1834.0,4500.0,2082.0,4225.0,827.0,592.0,4120.0,2805.0,759.9000244140625,1986.0,588.7999877929688,1727.0,4432.0,696.2000122070312,955.0,642.7999877929688,2214.5,3455.0,4314.0,1730.0,1597.6666259765625,2084.0,1994.0,2023.0,2567.5,3668.0,1529.0,787.0,20015.0,10700.0,4600.0,3390.0,2275.0,3380.0,1642.0,7726.0,2121.5,937.3333129882812,1196.6666259765625,858.6666870117188,4355.0,2854.0,3010.0,2884.5,1292.0,4824.5,1401.0,1453.0,439.0,2126.5,2576.0,1006.25,2745.0,4725.0,1272.0,5860.0,1852.5,1632.5,4501.0,1128.5,2626.5,8301.0,3640.0,6430.0,506.0
2017-11-24,584.0,3095.0,1284.0,3090.0,4086.0,1749.0,1871.0,2282.0,1443.0,2089.0,1238.0,6070.0,2065.5,5598.0,3705.0,4165.0,2658.0,9720.0,3170.0,5472.0,2103.0,3415.0,1258.0,2412.0,1115.0,2035.0,832.0,2086.0,672.0,1396.0,4140.0,4165.0,4553.0,7099.0,2207.0,1181.5,3540.0,4360.0,11005.0,12745.0,5291.0,4280.0,801.0,3775.0,2494.0,3295.0,1417.0,1873.3333740234375,883.8333129882812,1629.0,6222.0,2068.0,4909.0,6177.0,6183.0,633.0999755859375,3760.0,5047.0,2499.0,4710.0,2127.0,4495.0,944.0,5250.0,4525.0,1179.0,5910.0,2447.5,1025.0,2529.0,2925.0,4305.0,1048.0,6000.0,3760.0,6890.0,3070.0,3035.0,1913.0,4543.0,6030.0,1461.0,12940.0,4645.0,3720.0,586.0,3525.0,3520.0,1957.0,3613.0,2078.5,4083.0,1678.0,562.0,7370.0,4775.0,2312.0,3795.0,4311.0,1641.0,11110.0,6343.0,28170.0,4150.0,8091.0,2910.0,4226.5,34270.0,7921.0,2281.0,1894.5,5353.33349609375,2885.0,1600.0,7150.0,1693.5,977.0,2667.0,3520.0,5323.0,1911.0,3076.666748046875,23345.0,5090.0,2100.0,3810.0,1608.0,1320.0,3688.0,1779.0,1502.0,806.0,1077.5,3646.0,6132.0,1404.5999755859375,3625.0,830.0,1076.0,2284.0,1137.5,2520.0,1904.0,724.0,2782.5,1651.0,1595.0,1667.0,4140.0,3680.0,2429.0,2076.0,3850.0,1715.5,40730.0,1197.0,1773.0,1861.0,4482.0,2100.0,4195.0,819.0,591.0,4132.0,2785.0,762.4000244140625,1993.0,585.9000244140625,1693.0,4453.0,698.7000122070312,955.0,643.2999877929688,2198.5,3458.0,4286.0,1730.0,1605.6666259765625,2059.0,1984.0,1988.0,2534.0,3663.0,1521.0,780.0,20040.0,10775.0,4615.0,3410.0,2264.0,3395.0,1652.0,7732.0,2146.0,936.3333129882812,1173.3333740234375,845.6666870117188,4330.0,2825.0,3088.0,2932.5,1283.0,4892.0,1399.0,1438.5,439.0,2128.5,2593.0,1021.25,2652.0,4815.0,1266.0,5770.0,1867.5,1617.5,4661.0,1130.0,2633.0,8295.0,3645.0,6250.0,511.0
2017-11-27,584.0,3095.0,1275.0,3060.0,4052.0,1744.0,1880.0,2256.0,1423.0,2071.0,1226.0,5980.0,2057.5,5529.0,3703.0,4165.0,2619.0,9600.0,3135.0,5412.0,2083.0,3385.0,1237.0,2408.0,1104.5,2012.0,823.0,2093.0,666.0,1395.0,4105.0,4090.0,4506.0,7087.0,2180.0,1173.0,3505.0,4370.0,10940.0,12600.0,5372.0,4305.0,792.0,3765.0,2449.0,3285.0,1421.0,1893.3333740234375,878.0,1615.0,6200.0,2044.0,4944.0,6055.0,6151.0,639.2999877929688,3760.0,5067.0,2494.0,4715.0,2120.0,4415.0,937.0,5210.0,4480.0,1169.0,5850.0,2463.0,1022.0,2536.0,2903.0,4280.0,1047.0,5910.0,3685.0,6790.0,3040.0,2914.0,1878.0,4462.0,5950.0,1475.0,12830.0,4545.0,3690.0,581.0,3460.0,3490.0,1935.0,3592.0,2063.0,4061.0,1665.0,555.0,7380.0,4630.0,2288.0,3765.0,4299.0,1636.0,10980.0,6295.0,28355.0,4145.0,8206.0,2880.0,4208.5,34215.0,7889.0,2287.0,1887.5,5276.66650390625,2912.0,1602.0,7120.0,1694.0,975.0,2675.0,3555.0,5363.0,1885.0,3040.0,22930.0,5210.0,2089.0,3740.0,1595.0,1336.0,3675.0,1759.0,1494.5,797.0,1076.5,3634.0,6122.0,1405.199951171875,3590.0,827.0,1067.0,2261.0,1128.75,2540.0,1904.0,723.0999755859375,2777.0,1647.5,1590.0,1661.5,4125.0,3735.0,2422.0,2058.0,3840.0,1713.5,41190.0,1183.0,1784.0,1852.0,4446.0,2102.0,4165.0,817.0,584.0,4093.0,2785.0,762.7999877929688,1999.0,581.7000122070312,1687.0,4450.0,689.5999755859375,958.0,642.9000244140625,2206.5,3477.0,4278.0,1733.0,1622.6666259765625,2077.0,1958.0,1982.0,2510.0,3624.0,1516.0,781.0,20090.0,10875.0,4670.0,3435.0,2283.0,3390.0,1661.0,7716.0,2174.0,947.6666870117188,1178.3333740234375,851.0,4344.0,2840.0,3068.0,2913.5,1287.0,4889.0,1388.0,1434.0,437.0,2134.5,2559.5,1005.0,2585.0,4810.0,1260.0,5860.0,1867.5,1600.0,4772.0,1130.0,2614.5,8346.0,3575.0,6240.0,510.0
2017-11-28,589.0,3115.0,1257.0,3075.0,4069.0,1732.0,1887.0,2304.0,1447.0,2070.0,1230.0,6020.0,2051.0,5595.0,3715.0,4255.0,2625.0,9710.0,3140.0,5370.0,2116.0,3410.0,1245.0,2378.0,1046.0,2002.0,819.0,2077.0,660.0,1377.0,4065.0,4070.0,4499.0,7312.0,2154.0,1180.0,3530.0,4375.0,10685.0,12420.0,5357.0,4215.0,795.0,3460.0,2408.0,3250.0,1418.0,1916.6666259765625,878.0,1645.0,6206.0,2086.0,4950.0,6183.0,6162.0,625.7000122070312,3685.0,5056.0,2471.0,4650.0,2112.0,4325.0,962.0,5170.0,4455.0,1158.0,5960.0,2451.0,1012.0,2510.5,2854.0,4215.0,1043.0,5900.0,3645.0,6550.0,2950.0,2834.0,1901.0,4371.0,5850.0,1452.0,13145.0,4400.0,3630.0,572.0,3415.0,3490.0,1925.0,3456.0,2068.5,4057.0,1683.0,551.0,7340.0,4585.0,2258.0,3675.0,4294.0,1623.0,10750.0,6256.0,28290.0,4080.0,8196.0,2860.0,4161.0,33855.0,7874.0,2274.0,1862.5,5245.0,2924.0,1588.0,6980.0,1670.0,989.0,2683.0,3540.0,5332.0,1860.0,3033.333251953125,22280.0,5250.0,2080.0,3670.0,1588.0,1319.0,3713.0,1759.5,1474.5,789.0,1076.0,3618.0,6062.0,1407.5999755859375,3580.0,812.0,1055.0,2249.0,1138.75,2615.0,1891.0,723.9000244140625,2770.0,1655.0,1570.0,1653.5,4095.0,3735.0,2415.0,2046.0,3875.0,1721.0,41650.0,1170.0,1767.0,1850.0,4501.0,2114.0,4150.0,801.0,581.0,4060.0,2745.0,763.4000244140625,1979.0,577.0999755859375,1663.0,4429.0,684.5,950.0,643.7999877929688,2190.0,3450.0,4280.0,1753.0,1578.6666259765625,2064.0,1967.0,1962.0,2483.5,3646.0,1496.0,782.0,20135.0,10600.0,4705.0,3450.0,2288.0,3415.0,1687.0,7828.0,2167.5,939.6666870117188,1158.3333740234375,835.3333129882812,4368.0,2855.0,3085.0,2912.0,1294.0,4877.0,1394.0,1460.5,440.0,2133.0,2607.5,1003.75,2549.0,4840.0,1253.0,5800.0,1840.0,1602.5,4708.0,1126.5,2644.0,8376.0,3625.0,6280.0,509.0
2017-11-29,599.0,3160.0,1257.0,3080.0,4063.0,1735.0,1930.0,2320.0,1454.0,2083.5,1241.0,6050.0,2048.0,5586.0,3697.0,4285.0,2602.5,9780.0,3205.0,5396.0,2123.0,3485.0,1254.0,2391.0,1065.0,2029.0,826.0,2106.0,684.0,1408.0,4100.0,4135.0,4515.0,7409.0,2155.0,1224.5,3595.0,4490.0,10970.0,11945.0,5400.0,4165.0,802.0,3450.0,2461.0,3260.0,1425.5,1900.0,875.6666870117188,1617.0,6255.0,2093.0,4906.0,6157.0,6149.0,620.5,3745.0,5109.0,2491.0,4690.0,2139.0,4310.0,964.0,5250.0,4555.0,1175.0,6190.0,2595.0,1056.0,2616.5,2922.0,4250.0,1040.0,5890.0,3710.0,6550.0,2980.0,2789.0,1938.5,4406.0,5890.0,1483.0,13165.0,4385.0,3680.0,573.0,3420.0,3545.0,1935.0,3524.0,2086.5,4098.0,1711.0,553.0,7340.0,4595.0,2220.0,3645.0,4286.0,1620.0,10180.0,6274.0,28225.0,4070.0,8422.0,2865.0,4211.0,33480.0,7965.0,2291.0,1876.0,5170.0,2986.0,1597.0,6880.0,1690.0,990.0,2718.0,3575.0,5322.0,1887.0,3076.666748046875,20995.0,5250.0,2063.0,3675.0,1612.0,1355.0,3721.0,1763.5,1488.5,787.0,1084.0,3665.0,6054.0,1410.4000244140625,3475.0,817.0,1079.0,2194.0,1143.75,2645.0,1929.0,735.0,2818.5,1688.5,1615.0,1717.0,4175.0,3770.0,2450.0,2080.0,4075.0,1749.5,42300.0,1214.0,1831.0,1871.0,4563.0,2170.0,4190.0,824.0,596.0,4134.0,2780.0,784.5,2019.0,593.9000244140625,1718.0,4504.0,688.2000122070312,954.0,650.7999877929688,2254.5,3578.0,4400.0,1806.0,1637.0,2080.0,2031.0,1969.5,2484.0,3671.0,1508.0,779.0,20395.0,10690.0,4795.0,3465.0,2320.0,3465.0,1728.0,8070.0,2217.0,948.0,1163.3333740234375,846.3333129882812,4436.0,2901.0,3104.0,2932.5,1313.0,4904.5,1406.0,1496.0,445.0,2156.5,2621.5,978.75,2551.0,4940.0,1256.0,5890.0,1845.0,1625.0,4623.0,1133.0,2681.5,8407.0,3665.0,6310.0,510.0
2017-11-30,614.0,3230.0,1265.0,3135.0,4114.0,1743.0,1951.0,2358.0,1452.0,2094.5,1247.0,5900.0,2064.0,5707.0,3720.0,4400.0,2629.5,9780.0,3260.0,5514.0,2196.0,3515.0,1257.0,2420.0,1057.0,2047.0,836.0,2154.0,683.0,1405.0,4130.0,4175.0,4582.0,7438.0,2161.0,1216.0,3625.0,4500.0,11030.0,11765.0,5472.0,4165.0,782.0,3435.0,2479.0,3255.0,1426.0,1936.6666259765625,902.6666870117188,1628.0,6371.0,2129.0,4974.0,6259.0,6184.0,630.0,3770.0,5095.0,2516.0,4680.0,2145.0,4360.0,993.0,5260.0,4610.0,1187.0,6240.0,2642.0,1053.0,2721.0,2937.0,4270.0,1047.0,5940.0,3750.0,6340.0,3000.0,2823.0,1958.5,4355.0,5780.0,1491.0,12920.0,4385.0,3715.0,582.0,3465.0,3600.0,1929.0,3480.0,2120.0,4150.0,1691.0,551.0,7160.0,4565.0,2235.0,3575.0,4298.0,1642.0,10060.0,6305.0,27945.0,3960.0,8349.0,2900.0,4171.0,32455.0,7901.0,2215.0,1852.5,5055.0,3000.0,1617.0,6630.0,1668.0,996.0,2720.0,3535.0,5201.0,1876.0,3056.666748046875,20760.0,4950.0,2070.0,3710.0,1627.0,1374.0,3744.0,1771.0,1503.0,785.0,1088.0,3669.0,6040.0,1408.800048828125,3520.0,815.0,1096.0,2227.0,1152.5,2690.0,1946.0,745.7999877929688,2813.0,1705.0,1620.0,1743.5,4220.0,3650.0,2455.0,2092.0,4130.0,1824.0,43510.0,1299.0,1895.0,1986.0,4605.0,2214.0,4355.0,859.0,615.0,4164.0,2910.0,792.0999755859375,2039.0,595.9000244140625,1793.0,4547.0,698.0,983.0,670.5,2296.0,3655.0,4532.0,1845.5,1653.3333740234375,2159.0,2062.0,2002.5,2536.0,3696.0,1556.0,810.0,20775.0,10865.0,4960.0,3600.0,2385.0,3575.0,1791.0,8257.0,2275.5,964.6666870117188,1200.0,872.6666870117188,4480.0,3000.0,3215.0,2939.5,1321.0,4742.5,1419.0,1484.0,450.0,2157.0,2635.0,957.5,2545.0,5080.0,1292.0,5930.0,1845.0,1610.0,4520.0,1147.5,2647.0,8414.0,3795.0,6350.0,513.0
